CNPJ_Fundo,Data_Referencia,Versao,Data_Entrega,Nome_Fundo,Data_Funcionamento,Publico_Alvo,Codigo_ISIN,Quantidade_Cotas_Emitidas,Fundo_Exclusivo,Cotistas_Vinculo_Familiar,Mandato,Segmento_Atuacao,Tipo_Gestao,Prazo_Duracao,Data_Prazo_Duracao,Encerramento_Exercicio_Social,Mercado_Negociacao_Bolsa,Mercado_Negociacao_MBO,Mercado_Negociacao_MB,Entidade_Administradora_BVMF,Entidade_Administradora_CETIP,Nome_Administrador,CNPJ_Administrador,Logradouro,Numero,Complemento,Bairro,Cidade,Estado,CEP,Telefone1,Telefone2,Telefone3,Site,Email
01.657.856/0001-05,2016-12-31,1,2017-03-21,SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,1996-10-31,INVESTIDORES EM GERAL,BRSCPFCTF003,4200000.0,N,N,Renda,Shoppings,Ativa,Indeterminado,,31/12,S,N,N,S,N,BR-CAPIUTAL DISTRIB. TITULOS E VALORES MOBILIÁRIOS S.A.,01657856000105,AV. NAÇÕES UNIDAS,11.857,CONJ. 111,BROOKLIN PAULISTA,SÃO PAULO,SP,04578-908,(11) 5508-3504,,,www.brcapital.com.br,brcapital@brcapital.com.br
01.964.775/0001-40,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,2005-11-03,INVESTIDOR QUALIFICADO E PROFISSIONAL,0,12583000.0,S,N,,,,Indeterminado,,31/12,S,N,N,S,N,BCV - BANCO DE CREDITO E VAREJO S/A,01964775000140,AVENIDA BRIGADEIRO FARIA LIMA,3477,9º ANDAR,ITAIM BIBI,SÃO PAULO,SP,04538-133,11 2847-7458,,,N/C,ana.tiago@bancobmg.com.br
02.027.437/0001-44,2016-12-01,1,2017-03-31,FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,1997-07-10,INVESTIDORES EM GERAL,BRBMIICTF007,140000.0,N,N,Desenvolvimento para Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,S,N,N,S,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,02.027.437/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
02.508.235/0001-14,2016-12-01,1,2017-03-31,LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,1998-06-10,INVESTIDORES EM GERAL,0,17100.0,N,S,Renda,Logística,Ativa,Indeterminado,,31/12,N,N,S,N,N,RIO BRAVO INVESTIMENTOS DTVM LTDA.,02508235000114,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
03.251.720/0001-18,2016-12-31,1,2017-03-24,FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO  ÁGUA BRANCA,1999-06-30,INVESTIDORES EM GERAL,BRFPABCTF011,750000.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,2016/12/31,S,N,N,S,N,COIN DTVM LTDA,03.251.720/000,Avenida Brigadeiro Faria Lima,1461,10º andar Torre Sul,Jardim Paulistano,São Paulo,SP,01452-921,(11)3035-4143,(11)3035-4141,,www.coinvalores.com.br,admfundoimobiliario@coinvalores.com.br
03.507.519/0001-59,2016-12-01,1,2017-03-31,FUNDO DE INV. IMOBILIÁRIO SHOPPING PÁTIO HIGIENÓPOLIS,1999-10-15,INVESTIDORES EM GERAL,BRSHPHCTF008,578353.0,N,N,Renda,Shoppings,Passiva,Indeterminado,,31/12,N,N,S,N,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,03.507.519/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
03.683.056/0001-86,2016-12-01,3,2017-07-18,FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,2000-01-12,INVESTIDORES EM GERAL,BRFFCICTF005,138509272.0,N,N,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,S,N,N,S,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,03683056000186,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
03.855.441/0001-63,2016-12-31,1,2017-03-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,2000-05-02,INVESTIDORES EM GERAL,0,144210661.0,N,N,Desenvolvimento para Renda,Logística,Passiva,Indeterminado,,31/12,N,N,S,N,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,03.855.441/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
04.066.582/0001-60,2016-12-01,1,2017-03-30,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,2012-10-23,INVESTIDORES EM GERAL,BRHCRICTF006,200000.0,N,N,Renda,Hospital,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,04066582000160,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
04.141.645/0001-03,2016-12-31,1,2017-03-22,F I I CONTINENTAL SQUARE FARIA LIMA,2000-08-29,INVESTIDORES EM GERAL,BRFLMACTF009,69033500.0,N,N,Renda,Híbrido,Ativa,Indeterminado,,31/12,S,N,N,S,N,BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.,04141645000103,AVENIDA NAÇÕES UNIDAS,11857,CJ. 111,BROOKLIN NOVO,SÃO PAULO,SP,04578908,11-5508.3500,,,WWW.BRCAPITAL.COM.BR,fundos@brcapital.com.br
04.722.883/0001-02,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,2012-10-26,INVESTIDORES EM GERAL,BRTRNTCTF013,3935562.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,04722883000102,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
04.782.236/0001-88,2016-12-31,1,2017-03-29,FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2001-08-24,INVESTIDOR QUALIFICADO E PROFISSIONAL,,2355484.0,N,N,Híbrido,Híbrido,Passiva,Indeterminado,,31/12,N,N,S,N,N,COINVALORES C.C.V.M. LTDA,04782236000188,Avenida Brigadeiro Faria Lima,1461,10º andar - Torre Sul,Jardim Paulistano,São Paulo,SP,01452-921,(11) 3035-4141,(11) 3035-4143,,www.coinvalores.com.br,admfundoimobiliario@coinvalores.com.br
05.437.916/0001-27,2016-12-31,1,2017-03-24,FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,2002-12-10,INVESTIDORES EM GERAL,BREUROCTF011,355000.0,S,N,Híbrido,Logística,Passiva,Indeterminado,,2016/12/31,S,N,N,S,N,COINVALORES CCVM LTDA,05437916000127,Avenida Brigadeiro Faria Lima,1461,10º andar Torre Sul,Jardim Paulistano,São Paulo,SP,01452-921,(11)3035-4143,(11)3035-4141,,www.coinvalores.com.br,admfundoimobiliario@coinvalores.com.br
05.562.312/0001-02,2016-12-01,2,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO - FII ED ALMIRANTE BARROSO,2012-10-30,INVESTIDORES EM GERAL,BRFAMBCTF018,104800.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,N,S,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,05562312000102,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
06.175.262/0001-73,2016-12-31,1,2017-03-24,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,2004-05-04,INVESTIDORES EM GERAL,BREDFOCTF004,236000.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,S,N,N,S,N,OLIVEIRA TRUST DTVM S.A.,06175262000173,Avenida das Americas,3434,"Bloco 07, Sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,21 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
07.000.400/0001-46,2016-12-01,1,2017-04-05,BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,2004-07-26,INVESTIDORES EM GERAL,BRBBFICTF006,130000.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,N,S,N,S,N,CAIXA ECONOMICA FEDERAL,07000400000146,Avenida Paulista,2300,11º Andar,Cerqueira Cesar,São Paulo,SP,01310300,(11) 3572-4219,(11) 3572-4388,,www.caixa.gov.br,supot02@caixa.gov.br
07.122.725/0001-00,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,2012-10-15,INVESTIDORES EM GERAL,BRALMICTF003,104700.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,07122725000100,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
07.224.019/0001-60,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO - FII SHOPPING PARQUE D. P,2012-11-01,INVESTIDORES EM GERAL,BRSHDPCTF007,1629280.0,N,N,Renda,Shoppings,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,07224019000160,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
07.352.632/0001-63,2016-12-01,1,2017-03-30,FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,2012-10-25,INVESTIDORES EM GERAL,BRRDBSCTF006,40000.0,N,N,Renda,Logística,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,07352632000163,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
07.583.627/0001-61,2016-12-01,1,2017-03-30,FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,2005-06-23,INVESTIDOR QUALIFICADO,0,224952.0,S,N,Renda,Outros,Passiva,Indeterminado,1899-12-31,31/12,N,N,S,N,N,BANCO OURINVEST S.A.,07583627000161,Av. Paulista,1728,2º andar,Bela Vista,São Paulo,SP,01310-919,4081-4402,4081-4444,0,ourinvest.com.br,negociosimobiliarios@ourinvest.com.br
07.789.135/0001-27,2016-12-01,1,2017-04-25,FII ANCAR IC,2005-12-21,INVESTIDORES EM GERAL,BRANCRCTF001,451113.0,N,N,Desenvolvimento para Renda,Shoppings,Ativa,Indeterminado,,31/12,S,N,N,S,N,GERAÇÃO FUTURO CORRETORA DE VALORES S.A,07789135000127,AV. PAULISTA,1106,6º ANDAR,BELA VISTA,SÃO PAULO,SP,01310-100,(11) 3524-8888,(11) 2137-8888,0800 605 8888,www.gerafuturo.com.br,middleadmint@gerafuturo.com.br
08.014.513/0001-63,2016-12-01,1,2017-03-30,FUNDO DE INVESTIMENTO IMOB - FII HOSPITAL N S LOURDES,2012-10-18,INVESTIDORES EM GERAL,BRNSLUCTF008,1144800.0,N,N,Renda,Hospital,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,08014513000163,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
08.098.114/0001-28,2016-12-01,1,2017-03-30,FUNDO DE INVESTIMENTO IMOB - FII COMERCIAL PROGRESSIVO II,2012-10-30,INVESTIDORES EM GERAL,BRPRGDCTF001,3568083.0,N,N,Renda,Híbrido,Ativa,Indeterminado,,Dezembro,N,N,S,N,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,08098114000128,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
08.417.532/0001-30,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,2006-08-14,INVESTIDORES EM GERAL,0,46971.0,N,N,Renda,Outros,Ativa,Indeterminado,,31/12,S,N,N,S,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,08.417.532/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
08.431.747/0001-06,2016-12-31,1,2017-03-29,CSHG BRASIL SHOPPING - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,2006-12-28,INVESTIDORES EM GERAL,BRHGBSCTF000,537492.0,N,N,Renda,Shoppings,Ativa,Indeterminado,,31/12,S,N,N,S,N,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,08.431.747/000,RUA LEOPOLDO COUTO MAGALHAES JR,700,11º ANDAR,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,www.cshg.com.br,list.imobiliario@cshg.com.br
08.693.497/0001-82,2016-12-01,1,2017-03-30,FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,2007-05-31,INVESTIDORES EM GERAL,BRVERECTF002,550084.0,N,S,Renda,Híbrido,Ativa,Indeterminado,,31/12,S,S,N,S,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,08693497000182,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
08.706.065/0001-69,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,2012-11-01,INVESTIDORES EM GERAL,BRHTMXCTF000,1118960.0,N,N,Renda,Hotel,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,08706065000169,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
08.924.783/0001-01,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO BTG PACTUAL CORPORATE OFFI,2013-06-03,INVESTIDORES EM GERAL,BRBRCRCTF000,19224537.0,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,08924783000101,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
09.006.914/0001-34,2016-12-01,1,2017-03-31,FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,2007-08-13,INVESTIDORES EM GERAL,BRRBRDCTF008,1851786.0,N,N,Renda,Híbrido,Ativa,Indeterminado,,31/12,S,S,N,S,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,09006914000134,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
09.072.017/0001-29,2016-12-31,1,2017-03-21,CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2008-06-05,INVESTIDORES EM GERAL,BRHGRECTF006,738310.0,N,N,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,S,N,N,S,N,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,09072017000129,RUA LEOPOLDO COUTO MAGALHAES JR,700,11º andar,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,www.cshg.com.br,list.imobiliario@cshg.com.br
09.150.967/0001-24,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,2007-10-18,INVESTIDORES EM GERAL,,68613.0,N,N,,,,Indeterminado,,31/12,N,S,N,N,S,FINAXIS CORRETORA,09150967000124,Avenida Paulista,1842,Torre Norte 1º andar cj. 17,Cerqueira Cesar,São Paulo,SP,01310-923,(11) 3526 9001,,,http://finaxis.com.br/,informacoesfundos@bancopetra.com.br
09.276.964/0001-31,2016-12-01,1,2017-03-30,FUNDO DE INVESTIMENTO IMOBILIARIO -FII  PROPERTY INVEST,2012-12-31,INVESTIDORES EM GERAL,BRPRPYCTF008,1115263.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,N,N,S,N,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,09276964000131,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
09.326.861/0001-39,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO FII SHOPPING WEST PLAZA,2012-11-01,INVESTIDORES EM GERAL,BRWPLZCTF004,989339.0,N,N,Renda,Shoppings,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,09326861000139,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
09.350.920/0001-04,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,2008-07-28,INVESTIDORES EM GERAL,BRSFNDCTF006,981472.0,N,S,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,S,N,N,S,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,09350920000104,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
09.552.812/0001-14,2016-12-01,1,2017-03-31,FII BTG PACTUAL FUNDO DE CRI,2013-06-03,INVESTIDORES EM GERAL,BRFEXCCTF007,1461280.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,09552812000114,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
10.347.505/0001-80,2016-12-01,1,2017-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,2010-01-14,INVESTIDOR QUALIFICADO,,193519.2724,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,31/12,S,S,N,N,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,10347505000180,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5096,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
10.347.985/0001-80,2016-12-01,1,2017-03-30,FII BB VOTORANTIM JHSF CIDADE JARDIM CONTINENTAL TOWER,2010-12-22,INVESTIDOR QUALIFICADO,BRBBVJCTF001,2710000.0,N,N,Desenvolvimento para Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,S,N,N,S,N,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,10347985000180,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
