CNPJ_Fundo,Data_Referencia,Versao,Data_Entrega,Nome_Fundo,Data_Funcionamento,Publico_Alvo,Codigo_ISIN,Quantidade_Cotas_Emitidas,Fundo_Exclusivo,Fundo_Nao_Listado_Exclusivo,Cotistas_Vinculo_Familiar,Mandato,Segmento_Atuacao,Tipo_Gestao,Prazo_Duracao,Data_Prazo_Duracao,Encerramento_Exercicio_Social,Mercado_Negociacao_Bolsa,Mercado_Negociacao_MBO,Mercado_Negociacao_MB,Entidade_Administradora_BVMF,Entidade_Administradora_CETIP,Nome_Administrador,CNPJ_Administrador,Logradouro,Numero,Complemento,Bairro,Cidade,Estado,CEP,Telefone1,Telefone2,Telefone3,Site,Email,Data_Encerramento_Trimestre
01.964.775/0001-40,2016-12-31,1,2017-02-16,FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,2005-11-03,INVESTIDOR QUALIFICADO E PROFISSIONAL,0,12583000.0,Sim,Sim,Não,,,,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,BCV - BANCO DE CREDITO E VAREJO S/A,1964775000140.0,AVENIDA BRIGADEIRO FARIA LIMA,3477,9º ANDAR,ITAIM BIBI,SÃO PAULO,SP,04538-133,11 2847-7458,,,N/C,ana.tiago@bancobmg.com.br,2016-12-31
02.027.437/0001-44,2016-12-31,1,2017-02-14,FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,1997-07-10,INVESTIDORES EM GERAL,BRBMIICTF007,140000.0,Não,Não,Sim,Desenvolvimento para Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,2027437000144.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
02.508.235/0001-14,2016-12-31,1,2017-02-14,LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,1998-06-10,INVESTIDORES EM GERAL,0,17100.0,Não,Não,Sim,Renda,Logística,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,2508235000114.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
03.251.720/0001-18,2016-12-31,2,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,1999-06-30,INVESTIDORES EM GERAL,BRFPABCTF011,750000.0,Não,Não,Não,Renda,Lajes Corporativas,Passiva,Indeterminado,,2016/12/31,Sim,Não,Não,Sim,Não,COIN DTVM LTDA,3251720000118.0,Avenida Brigadeiro Faria Lima,1461,10º andar Torre Sul,Jardim Paulistano,São Paulo,SP,01452-921,(11)3035-4143,(11)3035-4141,,www.coinvalores.com.br,admfundoimobiliario@coinvalores.com.br,2016-12-31
03.507.519/0001-59,2016-12-31,2,2017-10-16,FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,1999-10-15,INVESTIDORES EM GERAL,BRSHPHCTF008,578353.0,Não,Não,Não,Renda,Shoppings,Passiva,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,3507519000159.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
03.683.056/0001-86,2016-12-31,4,2017-10-20,FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,2000-01-13,INVESTIDORES EM GERAL,BRFFCICTF005,138509272.0,Não,Não,Não,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,3683056000186.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
03.855.441/0001-63,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,2000-05-02,INVESTIDORES EM GERAL,0,144210661.0,Não,Não,Não,Desenvolvimento para Renda,Logística,Passiva,Indeterminado,,31/12,Não,Não,Sim,Não,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,3855441000163.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
04.066.582/0001-60,2016-12-31,2,2017-02-16,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,2012-10-23,INVESTIDORES EM GERAL,BRHCRICTF006,200000.0,Não,Não,Não,Renda,Hospital,Passiva,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,4066582000160.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
04.141.645/0001-03,2016-12-31,1,2017-02-14,FUNDO DE INV. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,2000-08-29,INVESTIDORES EM GERAL,BRFLMACTF009,69033500.0,Não,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,BE-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A,4141645000103.0,AVENIDA DAS NAÇÕES UNIDAS,11857,111,BROOKLIN PAULISTA,SÃO PAULO,SP,04578-908,(11) 5508-3500,,,www.brcapital.com.br,llc@brcapitaldtvm.com.br,2016-12-31
04.722.883/0001-02,2016-12-31,2,2017-02-16,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,2012-10-26,INVESTIDORES EM GERAL,BRTRNTCTF013,3935562.7833,Não,Não,Não,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,4722883000102.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
04.782.236/0001-88,2016-12-31,2,2017-02-15,FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2001-08-24,INVESTIDOR QUALIFICADO E PROFISSIONAL,,2355484.0,Não,Não,Não,Híbrido,Híbrido,Passiva,Indeterminado,,2016/12/31,Não,Não,Sim,Não,Não,COINVALORES C.C.V.M. LTDA,4782236000188.0,Avenida Brigadeiro Faria Lima,1461,10º andar Torre Sul,Jardim Paulistano,São Paulo,SP,01452-921,(11) 3035-4143,(11) 3035-4141,,www.coinvalores.com.br,admfundoimobiliario@coinvalores.com.br,2016-12-31
05.437.916/0001-27,2016-12-31,1,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR,2002-12-10,INVESTIDORES EM GERAL,BREUROCTF011,355000.0,Não,Não,Não,Híbrido,Logística,Passiva,Indeterminado,,2016/12/31,Sim,Não,Não,Sim,Não,COINVALORES C.C.V.M. LTDA,5437916000127.0,Avenida Brigadeiro Faria Lima,1461,10º andar Torre Sul,Jardim Paulistano,São Paulo,SP,01452-921,(11) 3035-4143,(11) 3035-4141,,www.coinvalores.com.br,admfundoimobiliario@coinvalores.com.br,2016-12-31
05.562.312/0001-02,2016-12-31,2,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO ALMIRANTE B,2012-10-30,INVESTIDORES EM GERAL,BRFAMBCTF018,104800.0,Não,Não,Não,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,5562312000102.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
06.175.262/0001-73,2016-12-31,1,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,2004-05-04,INVESTIDORES EM GERAL,BREDFOCTF004,236000.0,Não,Não,Não,Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,OLIVEIRA TRUST DTVM S.A.,6175262000173.0,Avenida das Americas,500,BLOCO 13 - SALA 205,Barra da Tijuca,Rio de Janeiro,RJ,22.631-000,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br,2016-12-31
07.000.400/0001-46,2016-12-31,1,2017-02-13,BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,2004-06-03,INVESTIDORES EM GERAL,BRBBFICTF006,130000.0,Não,Não,Não,Títulos e Valores Mobiliários,Híbrido,Passiva,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,CAIXA ECONÔMICA FEDERAL,7000400000146.0,Avenida Paulista,2300,11º  andar,Cerqueira Cesar,São Paulo,SP,01310-300,(11) 3555-6350,,,www.caixa.gov.br,supot02@caixa.gov.br,2016-12-31
07.122.725/0001-00,2016-12-31,2,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,2012-10-15,INVESTIDORES EM GERAL,BRALMICTF003,104700.0,Não,Não,Não,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,7122725000100.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
07.224.019/0001-60,2016-12-31,2,2017-02-16,FUNDO DE INVESTIMENTO IMOBILIARIO - FII SHOPPING PARQUE D. P,2012-11-01,INVESTIDORES EM GERAL,BRSHDPCTF007,1629280.0001,Não,Sim,Não,Renda,Shoppings,Passiva,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,7224019000160.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
07.352.632/0001-63,2016-12-31,2,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,2012-10-25,INVESTIDORES EM GERAL,BRRDBSCTF006,40000.0,Não,Sim,Não,Renda,Logística,Passiva,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,7352632000163.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
07.583.627/0001-61,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,2005-06-23,INVESTIDOR QUALIFICADO,0,224952.0,Sim,Sim,Não,Renda,Outros,Passiva,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BANCO OURINVEST S.A.,7583627000161.0,Av. Paulista,1728,2º andar,Bela Vista,São Paulo,SP,01310-919,4081-4402,4081-4444,,ourinvest.com.br,negociosimobiliarios@ourinvest.com.br,2016-12-31
07.789.135/0001-27,2016-12-31,3,2017-05-25,FII ANCAR IC,2005-12-21,INVESTIDORES EM GERAL,BRANCRCTF001,451113.0,Não,Não,Não,Desenvolvimento para Renda,Shoppings,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,GERAÇÃO FUTURO CORRETORA DE VALORES S.A,7789135000127.0,AV. PAULISTA,1106,6º ANDAR,BELA VISTA,SÃO PAULO,SP,01310-100,(11) 3524-8888,(11) 2137-8888,0800 605 8888,www.gerafuturo.com.br,middleadmint@gerafuturo.com.br,2016-12-31
08.014.513/0001-63,2016-12-31,2,2017-02-16,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL NOSSA SENHO,2012-10-18,INVESTIDORES EM GERAL,BRNSLUCTF008,1144800.0,Não,Não,Não,Renda,Hospital,Passiva,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,8014513000163.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
08.098.114/0001-28,2016-12-31,2,2017-02-16,FUNDO DE INVESTIMENTO IMOBILIARIO - FII COMERCIAL PROGRESSIV,2012-10-30,INVESTIDORES EM GERAL,BRPRGDCTF001,3568083.0,Não,Sim,Não,Renda,Híbrido,Ativa,Indeterminado,,Dezembro,Não,Não,Sim,Não,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,8098114000128.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
08.417.532/0001-30,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,2006-08-14,INVESTIDORES EM GERAL,0,46971.0,Não,Não,Não,Renda,Outros,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,8417532000130.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
08.431.747/0001-06,2016-12-31,1,2017-02-14,CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2006-12-28,INVESTIDORES EM GERAL,BRHGBSCTF000,537492.0,Não,Não,Não,Renda,Shoppings,Ativa,Indeterminado,,12/2016,Sim,Não,Não,Sim,Não,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,8431747000106.0,RUA LEOPOLDO COUTO DE MAGALHÃES JR,700,11º andar,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,www.cshg.com.br,list.imobiliario@cshg.com.br,2016-12-31
08.610.522/0001-17,2016-12-31,2,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PREMIER REALTY,2013-01-31,INVESTIDORES EM GERAL,BRPRMRCTF009,2140429.9855,Não,Não,Não,Renda,Outros,Passiva,Indeterminado,,Dezembro,Não,Não,Sim,Não,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,8610522000117.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
08.693.497/0001-82,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,2007-05-31,INVESTIDORES EM GERAL,BRVERECTF002,550084.0,Não,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,31/12,Sim,Sim,Não,Sim,Sim,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,8693497000182.0,Avenida das Nações Unidas,14171,"torre A, 11º andar",Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br,2016-12-30
08.696.175/0001-97,2016-12-31,1,2017-02-15,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2007-01-30,INVESTIDORES EM GERAL,BRFIIPCTF001,927162.0,Não,Não,Não,Renda,Logística,Ativa,Indeterminado,,06/2017,Sim,Não,Não,Sim,Não,OLIVEIRA TRUST DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A,8696175000197.0,AVENIDA DAS AMÉRICAS,500,BLOCO 13 - SALA 205,BARRA DA TIJUCA,RIO DE JANEIRO,RJ,22.631-000,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br,2016-12-31
08.706.065/0001-69,2016-12-31,3,2018-09-18,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,2012-11-01,INVESTIDORES EM GERAL,BRHTMXCTF000,714515.9999,Não,Não,Não,Renda,Hotel,Ativa,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,8706065000169.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
08.924.783/0001-01,2016-12-31,2,2017-02-16,FUNDO DE INVESTIMENTO IMOB BTG PACTUAL CORPORATE OFFICE FUND,2013-06-03,INVESTIDORES EM GERAL,BRBRCRCTF000,19224536.9969,Não,Não,Não,Híbrido,Híbrido,Ativa,Indeterminado,,Dezembro,Sim,Não,Não,Sim,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,8924783000101.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
09.006.914/0001-34,2016-12-31,1,2017-02-14,FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,2007-08-13,INVESTIDORES EM GERAL,BRRBRDCTF008,1851786.0,Não,Não,Não,Renda,Híbrido,Passiva,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,9006914000134.0,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5096,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br,2016-12-30
09.072.017/0001-29,2016-12-31,2,2017-02-15,CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2008-05-06,INVESTIDORES EM GERAL,BRHGRECTF006,738310.0,Não,Não,Não,Renda,Lajes Corporativas,Ativa,Indeterminado,,12/2016,Sim,Não,Não,Sim,Não,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,9072017000129.0,RUA LEOPOLDO COUTO DE MAGALHÃES JR,700,11º andar,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,www.cshg.com.br,list.imobiliario@cshg.com.br,2016-12-31
09.150.967/0001-24,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,2007-10-18,INVESTIDORES EM GERAL,,68613.0,Não,Não,Não,,,,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,FINAXIS CORRETORA,9150967000124.0,Avenida Paulista,1842,Torre Norte 1º andar cj. 17,Cerqueira Cesar,São Paulo,SP,01310-923,(11) 3526 9001,,,http://finaxis.com.br/,informacoesfundos@bancopetra.com.br,2016-12-31
09.276.964/0001-31,2016-12-31,2,2017-02-16,FUNDO DE INVESTIMENTO IMOBILIARIO PROPERTY INVEST,2012-12-31,INVESTIDORES EM GERAL,BRPRPYCTF008,1111863.0003,Não,Sim,Não,Renda,Lajes Corporativas,Passiva,Indeterminado,,Dezembro,Não,Não,Sim,Não,Não,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,9276964000131.0,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com,2016-12-30
