CNPJ_Fundo,Data_Referencia,Versao,Nome_Diretor_Representante,Funcao,Nome_Empresa,Periodo,Cargo_Funcao,Atividade_Principal
01.657.856/0001-05,2016-12-31,1,HORACIO MARIO KLEINMAN,Diretor Responsável pelo FII,UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.,1991 até a presente data,Diretor Executivo,"Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária."
01.964.775/0001-40,2016-12-01,1,Ernani Leite Vitorello,Diretor Responsável pelo FII,BANCO BCV,2011,Diretor Executivo,Administrador
02.027.437/0001-44,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
02.508.235/0001-14,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
03.251.720/0001-18,2016-12-31,1,Henrique Freihofer Molinari,Diretor Responsável pelo FII,Coin DTVM LTDA,30/08/1989 a atual,Sócio-diretor,Sociedade Corretora
03.507.519/0001-59,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
03.683.056/0001-86,2016-12-01,3,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
03.855.441/0001-63,2016-12-31,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
04.066.582/0001-60,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
04.066.582/0001-60,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
04.141.645/0001-03,2016-12-31,1,HORACIO MARIO KLEINMAN,Diretor Responsável pelo FII,UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.,1991 até a presente data,Diretor Executivo,"Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária."
04.141.645/0001-03,2016-12-31,1,HORACIO MARIO KLEINMAN,Diretor Responsável pelo FII,BR-CAPITAL D.T.V.M. S.A.,1991 até a presente data,Diretor Executivo,Distribuidora de Títulos e Valores Mobiliários
04.722.883/0001-02,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
04.722.883/0001-02,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
04.782.236/0001-88,2016-12-31,1,Fernando Ferreira da Silva Telles,Diretor Responsável pelo FII,Coinvalores C.C.V.M. Ltda.,24/06/1996,Diretor,Sociedade Corretora
05.437.916/0001-27,2016-12-31,1,Fernando Ferreira da Silva Telles,Diretor Responsável pelo FII,Coinvalores C.C.V.M. Ltda.,24/06/1996,Diretor,Sociedade Corretora
05.562.312/0001-02,2016-12-01,2,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
05.562.312/0001-02,2016-12-01,2,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
05.562.312/0001-02,2016-12-01,2,Luiz Gustavo Aurnheimer Vieira,Representante de cotistas,Consenso Locação e construção de Imóveis Ltda,6,Sócio,Locação e construção de imóveis
05.562.312/0001-02,2016-12-01,2,Gabriel José Lindenbaum,Representante de cotistas,Lisboa Lindenbaum Imoveis LTDA,25,Sócio Gerente,"Administração, locação, compra e venda de imóveis, e processos judiciais na área imobiliária, como despejos, execuções, renovatórias e revisionais."
06.175.262/0001-73,2016-12-31,1,José Alexandre Costa de Freitas,Diretor Responsável pelo FII,Oliveira Trust,Março de 1992 - Data atual,Diretor Presidente,Distribuidora de Títulos e Valores Mobiliários
07.000.400/0001-46,2016-12-01,1,Gabriel Jose Lindenbaum,Representante de cotistas,Lisboa Lindenbaum Imovéis LTDA,1992 até os dias atuais,Sócio Gerente,"Administração, locação, compra e venda de imóveis"
07.000.400/0001-46,2016-12-01,1,FLAVIO EDUARDO ARAKAKI,Diretor Responsável pelo FII,Caixa Econômica Federal,26/07/2016 até o momento,Vice-Presidente Interino,Vice-Presidência de Gestão de Ativos de Terceiros
07.000.400/0001-46,2016-12-01,1,FLAVIO EDUARDO ARAKAKI,Diretor Responsável pelo FII,Caixa Econômica Federal,22/05/2013 a 25/07/2016,Diretor Executivo,Diretoria Executiva de Ativos de Terceiros
07.000.400/0001-46,2016-12-01,1,Luiz Gustavo Aurnheimer Vieira,Representante de cotistas,Consenso Locação e Construção de Imóveis LTDA,2004 até os dias atuais,Sócio,Locação e construção de imóveis
07.000.400/0001-46,2016-12-01,1,FLAVIO EDUARDO ARAKAKI,Diretor Responsável pelo FII,Caixa Econômica Federal,10/06/2011 a 21/05/2013,Superintendente Nacional,Superintendência Nacional de Fundos de Investimento Especiais
07.122.725/0001-00,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
07.122.725/0001-00,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
07.224.019/0001-60,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
07.224.019/0001-60,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
07.352.632/0001-63,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
07.352.632/0001-63,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
07.583.627/0001-61,2016-12-01,1,David Assine,Diretor Responsável pelo FII,Banco Ourinvest S.A.,1988- atual,Diretor,"Principais atuações: mercado financeiro, câmbio e área financeira imobiliária."
07.583.627/0001-61,2016-12-01,1,David Assine,Diretor Responsável pelo FII,OURINVEST PARTICIPAÇÕES S.A.,1992- atual,Diretor,"Holding , única controladora do grupo Ourinvest."
07.583.627/0001-61,2016-12-01,1,David Assine,Diretor Responsável pelo FII,Assine DTVM Ltda,1978 a 1985,Sócio Gerente,Distribuidora de títulos e valores mobiliários
07.583.627/0001-61,2016-12-01,1,Não aplicável,Representante de cotistas,Não aplicável,0,Não aplicável,Não aplicável
07.583.627/0001-61,2016-12-01,1,David Assine,Diretor Responsável pelo FII,SUPPLIERCARD ADMINISTRADORA DE CARTÕES DE CRÉDITO S.A.,05/2004 a 09/2010,Presidente do conselho de administração,Administração e processamento de cartões.
07.583.627/0001-61,2016-12-01,1,Não aplicável,Representante de cotistas,Não aplicável,5,Não aplicável,Não aplicável
07.583.627/0001-61,2016-12-01,1,David Assine,Diretor Responsável pelo FII,Ourinvest Metais Comercial Exportadora Ltda,2003- atual,Diretor,"Comércio atacadista de produtos de extração mineral, exceto combustíveis."
07.789.135/0001-27,2016-12-01,1,Eduardo Alvares Moreira,Diretor Responsável pelo FII,Geração Futuro CTVM,11/2014 até o momento,Senior Partner,Diretor responsavel
07.789.135/0001-27,2016-12-01,1,Eduardo Alvares Moreira,Diretor Responsável pelo FII,Grupo Brasil Plural,10/2009 á 10/2014,Senior Partner,Responsável pela estruturação das áreas de Wealth Management
08.014.513/0001-63,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
08.014.513/0001-63,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
08.098.114/0001-28,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
08.098.114/0001-28,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
08.417.532/0001-30,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
08.431.747/0001-06,2016-12-31,1,Luiz Guilherme da Costa Manso Moreira de Mendonça,Diretor Responsável pelo FII,Banco de Investimentos Credit Suisse (Brasil) S.A.,Março/2009 até a presente data(obs. período que assumiu o cargo atual. Funcionário da instituição desde 1992.),"Chefe de Finanças das empresas do grupo Credit Suisse no Brasil, responsável pelos departamentos de Contabilidade, Impostos, Risco, Resultado Gerencial, Orçamento e Planejamento e Controladoria de Fundos",Instituição Financeira
08.693.497/0001-82,2016-12-01,1,Robert John Van Dijk,Diretor Responsável pelo FII,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,29/04/2011 até o presente momento,Diretor Geral,Administração de fundos de investimento
08.706.065/0001-69,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
08.706.065/0001-69,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
08.924.783/0001-01,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
08.924.783/0001-01,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
09.006.914/0001-34,2016-12-01,1,Robert John Van Dijk,Diretor Responsável pelo FII,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,29/04/2011 até o presente momento,Diretor Geral,Administração de fundos de investimento
09.072.017/0001-29,2016-12-31,1,Luiz Guilherme da Costa Manso Moreira de Mendonça,Diretor Responsável pelo FII,Banco de Investimentos Credit Suisse (Brasil) S.A.,Março/2009 até a presente data(obs. período que assumiu o cargo atual. Funcionário da instituição desde 1992.),"Chefe de Finanças das empresas do grupo Credit Suisse no Brasil, responsável pelos departamentos de Contabilidade, Impostos, Risco, Resultado Gerencial, Orçamento e Planejamento e Controladoria de Fundos",Instituição Financeira
09.276.964/0001-31,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
09.276.964/0001-31,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
09.326.861/0001-39,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
09.326.861/0001-39,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
09.350.920/0001-04,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
09.552.812/0001-14,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
09.552.812/0001-14,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
10.347.505/0001-80,2016-12-01,1,Robert John Van Dijk,Diretor Responsável pelo FII,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,29/04/2011 até o presente momento,Diretor Geral,Administração de fundos de investimento
10.347.985/0001-80,2016-12-01,1,Robert John Van Dijk,Diretor Responsável pelo FII,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,29/04/2011 até o presente momento,Diretor Geral,Administração de fundos de investimento
10.348.185/0001-83,2016-12-01,1,Robert John Van Dijk,Diretor Responsável pelo FII,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,29/04/2011 até o presente momento,Diretor Geral,Administração de fundos de investimento
10.375.382/0001-91,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
10.375.382/0001-91,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
10.427.246/0001-06,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
10.427.246/0001-06,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
10.456.799/0001-89,2016-12-01,1,EDE ANTONIO GASPERIN,Diretor Responsável pelo FII,Corretora Geral de Valores e Câmbio Ltda.,Desde 01/06/1982.,Diretor,Corretora de Valores e Câmbio
10.456.810/0001-00,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
10.522.648/0001-81,2016-12-30,3,CARLOS AUGUSTO SALAMONDE,Diretor Responsável pelo FII,Banco JP Morgan,2011-2013,"Asset Management - CEO, Investment Management Brasil, Managing Director",Responsável pelo negocio de Asset Management no Brasil
10.522.648/0001-81,2016-12-30,3,CARLOS AUGUSTO SALAMONDE,Diretor Responsável pelo FII,BNY Mellon Serviços Financeiros DTVM,2013 -Atualmente,"Asset Servicing - Head Brasil e América Latina, Diretor Vice-Presidente",Responsável pelo negocio de Asset Servicing no Brasil e América Latina
10.522.648/0001-81,2016-12-30,3,CARLOS AUGUSTO SALAMONDE,Diretor Responsável pelo FII,Banco Itaú Unibanco,2008-2011,"Asset Servicing - Head Brasil e América Latina, Diretor Vice-Presidente",Responsável pelo negocio de Asset Servicing no Brasil e América Latina
10.869.155/0001-12,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
10.869.155/0001-12,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
10.991.914/0001-15,2016-12-01,1,FLAVIO EDUARDO ARAKAKI,Diretor Responsável pelo FII,Caixa Econômica Federal,26/07/2016 até o momento,Vice-Presidente Interino,Vice-Presidência de Gestão de Ativos de Terceiros
10.991.914/0001-15,2016-12-01,1,FLAVIO EDUARDO ARAKAKI,Diretor Responsável pelo FII,Caixa Econômica Federal,10/06/2011 a 21/05/2013,Superintendente Nacional,Superintendência Nacional de Fundos de Investimento Especiais
10.991.914/0001-15,2016-12-01,1,FLAVIO EDUARDO ARAKAKI,Diretor Responsável pelo FII,Caixa Econômica Federal,22/05/2013 a 25/07/2016,Diretor Executivo,Diretoria Executiva de Ativos de Terceiros
10.993.386/0001-33,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
10.993.386/0001-33,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
11.026.627/0001-38,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
11.026.627/0001-38,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
11.044.355/0001-07,2016-12-31,1,José Alexandre Costa de Freitas,Diretor Responsável pelo FII,Oliveira Trust,Março/1992 - Data Atual,Diretor Presidente,Distribuidora de Títulos e Valores Mobiliários
11.160.521/0001-22,2016-12-31,2,Bruno Laskowsky,Diretor Responsável pelo FII,Credit Suisse Hedging-Griffo Corretora de Valores S.A.,Janeiro/2017 até a presente data,Managing Director - Real Estate,Instituição Financeira
11.160.521/0001-22,2016-12-31,2,Bruno Laskowsky,Diretor Responsável pelo FII,Viver/Inpar Incorporadora e Construtora S.A,Outubro/2012 a Junho/2016,CEO,Incorporadora e Construtora
11.160.521/0001-22,2016-12-31,2,Bruno Laskowsky,Diretor Responsável pelo FII,Boston Consulting Group,Julho/2016 a Dezembro/2016,Senior Advisor,Consultoria
11.179.118/0001-45,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
11.179.118/0001-45,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
11.233.841/0001-65,2016-12-01,1,JOSE ALEXANDRE COSTA DE FREITAS,Diretor Responsável pelo FII,Oliveira Trust,Março de 1992 - Data atual,Diretor Presidente,Distribuidora de Títulos e Valores Mobiliários
11.260.134/0001-68,2016-12-31,1,Luiz Guilherme da Costa Manso Moreira de Mendonça,Diretor Responsável pelo FII,Banco de Investimentos Credit Suisse (Brasil) S.A.,Março/2009 até a presente data(obs. período que assumiu o cargo atual. Funcionário da instituição desde 1992.),"Chefe de Finanças das empresas do grupo Credit Suisse no Brasil, responsável pelos departamentos de Contabilidade, Impostos, Risco, Resultado Gerencial, Orçamento e Planejamento e Controladoria de Fundos",Instituição Financeira
11.268.335/0001-01,2016-12-01,1,André Bernardino da Cruz Filho,Diretor Responsável pelo FII,BANCO BRADESCO S/A,Atual,Diretor responsável pela administração dos Fundos de Investimento administrados pelo Banco Bradesco S.A. e pela BEM - Distribuidora de Títulos e Valores Mobiliários Ltda.,Instituição Financeira
11.274.415/0001-70,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
11.274.415/0001-70,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
11.281.322/0001-72,2016-12-01,1,André Bernardino da Cruz Filho,Diretor Responsável pelo FII,BANCO BRADESCO S/A,Atual,Diretor responsável pela administração dos Fundos de Investimento administrados pelo Banco Bradesco S.A. e pela BEM - Distribuidora de Títulos e Valores Mobiliários Ltda.,Instituição Financeira
11.602.654/0001-01,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,BRZ Investimentos,De junho de 2011 até junho de 2014,CEO (Chief Executive Officer),Atuou na área de gestão de recursos
11.602.654/0001-01,2016-12-01,1,Allan Hadid,Diretor Responsável pelo FII,Banco BTG Pactual S.A,De julho de 2014 até hoje,"Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management","Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management."
